CONTAINER ID   IMAGE                                             COMMAND                  CREATED       STATUS        PORTS                                                                                          NAMES
b5d85250011e   booking-history-service-booking_history_service   "fastapi run /app/so…"   2 hours ago   Up 2 hours    0.0.0.0:9091->8000/tcp, [::]:9091->8000/tcp                                                    booking_history_service
346205ffd65e   booking_service-booking_service                   "fastapi run /app/sr…"   4 days ago    Up 23 hours   0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp, 0.0.0.0:9090->8000/tcp, [::]:9090->8000/tcp   hotelio_booking_service
d33d0ebd856d   postgres:15                                       "docker-entrypoint.s…"   7 days ago    Up 2 hours    0.0.0.0:7432->5432/tcp, [::]:7432->5432/tcp                                                    booking_history_service_db
a226b2922167   postgres:15                                       "docker-entrypoint.s…"   8 days ago    Up 23 hours   0.0.0.0:6432->5432/tcp, [::]:6432->5432/tcp                                                    booking_service_db
0bb7a120422e   postgres:15                                       "docker-entrypoint.s…"   12 days ago   Up 12 days    0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    hotelio-db
bed64cd3cf23   confluentinc/cp-kafka:7.2.1                       "/etc/confluent/dock…"   12 days ago   Up 12 days    0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                                                    task2-kafka-1
2d584e16260c   confluentinc/cp-zookeeper:7.2.1                   "/etc/confluent/dock…"   12 days ago   Up 12 days    2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp                                task2-zookeeper-1
e24bc9870053   task2-monolith                                    "java -jar app.jar"      12 days ago   Up 12 days    0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                                                    hotelio-monolith
